Library,BarCode,Category,Read
SLX-10402,D707_D503,Unmapped,7386937
SLX-10402,D707_D504,Unmapped,8483665
SLX-10402,D707_D505,Unmapped,7820068
SLX-10402,D707_D506,Unmapped,7101556
SLX-10402,D707_D507,Unmapped,7460044
SLX-10402,D707_D508,Unmapped,7005527
SLX-9792,D701_D501,Mapped,64688643
SLX-9792,D701_D502,Mapped,67770526
SLX-9792,D701_D503,Mapped,54490781
SLX-9792,D701_D504,Mapped,50614017
SLX-9792,D701_D505,Mapped,51864125
SLX-9792,D701_D506,Mapped,47757910
SLX-9792,D701_D507,Mapped,53272055
SLX-9792,D701_D508,Mapped,53177853
SLX-9792,D709_D501,Mapped,79097703
SLX-9792,D709_D502,Mapped,61253624
SLX-9792,D709_D503,Mapped,63923881
SLX-9792,D709_D504,Mapped,75289929
SLX-9792,D709_D505,Mapped,58609923
SLX-9792,D709_D506,Mapped,63609182
SLX-9792,D709_D507,Mapped,52305679
SLX-9792,D709_D508,Mapped,56705273
SLX-9792,D710_D501,Mapped,70669646
SLX-9792,D710_D502,Mapped,84324870
SLX-9792,D710_D503,Mapped,76013433
SLX-9792,D710_D504,Mapped,74634411
SLX-9792,D710_D505,Mapped,59644217
SLX-9792,D710_D506,Mapped,78032018
SLX-9792,D710_D507,Mapped,78340583
SLX-9792,D710_D508,Mapped,66916846
SLX-9792,D711_D507,Mapped,60787626
SLX-9792,D711_D508,Mapped,56969218
SLX-9792,D712_D501,Mapped,50441691
SLX-9792,D712_D502,Mapped,64447832
SLX-9792,D712_D505,Mapped,97882012
SLX-9792,D712_D506,Mapped,64069744
SLX-9792,D701_D501,Rescued,27768276
SLX-9792,D701_D502,Rescued,20731282
SLX-9792,D701_D503,Rescued,30594958
SLX-9792,D701_D504,Rescued,26798491
SLX-9792,D701_D505,Rescued,31289553
SLX-9792,D701_D506,Rescued,33364975
SLX-9792,D701_D507,Rescued,27772739
SLX-9792,D701_D508,Rescued,35256255
